ad-root,10.180.25.117

ad-comp,10.180.25.111

ad-user,10.180.25.5

ca-comp,10.180.25.119

ca-user,10.180.25.19

ocsp-comp,10.180.25.29

ocsp-user,10.180.25.50

comp-desktop,10.180.25.113

user-desktop,10.180.25.41

